location,size,rooms,price
urban,850,2,180000
urban,1200,3,250000
urban,1500,4,320000
urban,2000,5,420000
urban,600,1,140000
urban,950,2,195000
urban,1100,3,230000
urban,1800,4,375000
urban,2200,5,460000
urban,750,2,165000
urban,1300,3,270000
urban,1650,4,345000
urban,500,1,125000
urban,1050,3,220000
urban,1750,4,360000
urban,2500,5,520000
urban,900,2,188000
urban,1400,3,290000
urban,1900,4,395000
urban,2100,5,440000
suburban,800,2,155000
suburban,1100,3,210000
suburban,1400,4,275000
suburban,1800,5,355000
suburban,600,1,120000
suburban,900,2,170000
suburban,1200,3,225000
suburban,1600,4,310000
suburban,2000,5,390000
suburban,700,2,145000
suburban,1000,3,200000
suburban,1500,4,290000
suburban,2200,5,425000
suburban,850,2,160000
suburban,1300,3,245000
suburban,1700,4,330000
suburban,500,1,110000
suburban,950,2,178000
suburban,1350,3,255000
suburban,1850,4,365000
suburban,2400,5,475000
suburban,1150,3,215000
suburban,1450,4,285000
suburban,1950,5,380000
suburban,750,2,148000
suburban,2100,5,410000
rural,700,2,105000
rural,1000,3,155000
rural,1300,4,205000
rural,1700,5,270000
rural,500,1,80000
rural,800,2,120000
rural,1100,3,170000
rural,1500,4,225000
rural,1900,5,295000
rural,600,1,88000
rural,900,2,130000
rural,1200,3,180000
rural,1600,4,245000
rural,2000,5,310000
rural,750,2,112000
rural,1050,3,162000
rural,1400,4,215000
rural,1800,5,280000
rural,550,1,84000
rural,850,2,125000
rural,1150,3,175000
rural,1650,4,252000
rural,2100,5,320000
rural,950,2,138000
rural,1250,3,188000
rural,2200,5,335000
rural,650,1,92000
rural,1350,3,198000
rural,1750,4,268000
rural,2400,5,355000
coastal,1000,2,280000
coastal,1400,3,375000
coastal,1800,4,480000
coastal,2200,5,590000
coastal,700,1,220000
coastal,1100,2,295000
coastal,1500,3,395000
coastal,1900,4,510000
coastal,2400,5,620000
coastal,800,2,245000
coastal,1200,3,325000
coastal,1600,4,435000
coastal,900,2,260000
coastal,1300,3,350000
coastal,1700,4,460000
coastal,2500,5,640000
coastal,1050,2,285000
coastal,1450,3,385000
coastal,1850,4,495000
coastal,2100,5,560000
coastal,750,1,215000
coastal,950,2,270000
coastal,1350,3,365000
coastal,2000,5,535000
coastal,650,1,205000
