location,size,rooms,price
urban,850,2,180000
urban,1200,3,250000
urban,1500,4,320000
urban,2000,5,420000
urban,600,1,140000
urban,950,2,195000
urban,1100,3,230000
urban,1800,4,375000
urban,2200,5,460000
urban,750,2,165000
urban,1300,3,270000
urban,1650,4,345000
urban,500,1,125000
urban,1050,3,220000
urban,1750,4,360000
urban,2500,5,520000
urban,900,2,188000
urban,1400,3,290000
urban,1900,4,395000
urban,2100,5,440000
suburban,800,2,155000
suburban,1100,3,210000
suburban,1400,4,275000
suburban,1800,5,355000
suburban,600,1,120000
suburban,900,2,170000
suburban,1200,3,225000
suburban,1600,4,310000
suburban,2000,5,390000
suburban,700,2,145000
suburban,1000,3,200000
suburban,1500,4,290000
suburban,2200,5,425000
suburban,850,2,160000
suburban,1300,3,245000
suburban,1700,4,330000
suburban,500,1,110000
suburban,950,2,178000
suburban,1350,3,255000
suburban,1850,4,365000
suburban,2400,5,475000
suburban,1150,3,215000
suburban,1450,4,285000
suburban,1950,5,380000
suburban,750,2,148000
suburban,2100,5,410000
rural,700,2,105000
rural,1000,3,155000
rural,1300,4,205000
rural,1700,5,270000
rural,500,1,80000
rural,800,2,120000
rural,1100,3,170000
rural,1500,4,225000
rural,1900,5,295000
rural,600,1,88000
rural,900,2,130000
rural,1200,3,180000
rural,1600,4,245000
rural,2000,5,310000
rural,750,2,112000
rural,1050,3,162000
rural,1400,4,215000
rural,1800,5,280000
rural,550,1,84000
rural,850,2,125000
rural,1150,3,175000
rural,1650,4,252000
rural,2100,5,320000
rural,950,2,138000
rural,1250,3,188000
rural,2200,5,335000
rural,650,1,92000
rural,1350,3,198000
rural,1750,4,268000
rural,2400,5,355000
coastal,1000,2,280000
coastal,1400,3,375000
coastal,1800,4,480000
coastal,2200,5,590000
coastal,700,1,220000
coastal,1100,2,295000
coastal,1500,3,395000
coastal,1900,4,510000
coastal,2400,5,620000
coastal,800,2,245000
coastal,1200,3,325000
coastal,1600,4,435000
coastal,900,2,260000
coastal,1300,3,350000
coastal,1700,4,460000
coastal,2500,5,640000
coastal,1050,2,285000
coastal,1450,3,385000
coastal,1850,4,495000
coastal,2100,5,560000
coastal,750,1,215000
coastal,950,2,270000
coastal,1350,3,365000
coastal,2000,5,535000
coastal,650,1,205000
urban,875,2,183000
urban,1025,3,215000
urban,1175,3,245000
urban,1325,3,275000
urban,1475,4,308000
urban,1625,4,338000
urban,1775,4,368000
urban,1925,5,402000
urban,2075,5,432000
urban,2225,5,463000
urban,2375,5,495000
urban,525,1,128000
urban,625,1,145000
urban,725,2,160000
urban,825,2,175000
urban,925,2,192000
urban,1085,3,227000
urban,1245,3,260000
urban,1385,3,288000
urban,1545,4,322000
urban,1695,4,352000
urban,1845,4,382000
urban,1995,5,415000
urban,2145,5,448000
urban,2295,5,478000
urban,2450,5,510000
urban,2600,6,545000
urban,2750,6,575000
urban,2900,6,608000
urban,3050,6,638000
urban,3200,7,672000
urban,560,1,132000
urban,660,1,148000
urban,760,2,163000
urban,860,2,180000
urban,960,2,198000
urban,1060,3,222000
urban,1160,3,242000
urban,1260,3,262000
urban,1360,3,282000
urban,1460,4,305000
urban,1560,4,325000
urban,1660,4,345000
urban,1760,4,365000
urban,1860,4,385000
urban,1960,5,408000
urban,2060,5,428000
urban,2160,5,452000
urban,2260,5,472000
urban,2360,5,492000
suburban,525,1,105000
suburban,625,1,118000
suburban,725,2,138000
suburban,825,2,152000
suburban,925,2,168000
suburban,1025,3,195000
suburban,1125,3,212000
suburban,1225,3,232000
suburban,1325,3,248000
suburban,1425,4,268000
suburban,1525,4,292000
suburban,1625,4,312000
suburban,1725,4,332000
suburban,1825,4,352000
suburban,1925,5,372000
suburban,2025,5,392000
suburban,2125,5,412000
suburban,2225,5,432000
suburban,2325,5,452000
suburban,2425,5,472000
suburban,2525,6,495000
suburban,2625,6,515000
suburban,2725,6,535000
suburban,2825,6,555000
suburban,2925,6,575000
suburban,3025,7,598000
suburban,560,1,108000
suburban,660,1,122000
suburban,760,2,142000
suburban,860,2,158000
suburban,960,2,175000
suburban,1060,3,202000
suburban,1160,3,218000
suburban,1260,3,238000
suburban,1360,3,255000
suburban,1460,4,275000
suburban,1560,4,298000
suburban,1660,4,318000
suburban,1760,4,338000
suburban,1860,4,358000
suburban,1960,5,378000
suburban,2060,5,398000
suburban,2160,5,418000
suburban,2260,5,438000
suburban,2360,5,458000
suburban,2460,5,478000
rural,525,1,78000
rural,625,1,88000
rural,725,2,102000
rural,825,2,115000
rural,925,2,128000
rural,1025,3,148000
rural,1125,3,162000
rural,1225,3,178000
rural,1325,3,192000
rural,1425,4,208000
rural,1525,4,225000
rural,1625,4,242000
rural,1725,4,258000
rural,1825,4,272000
rural,1925,5,288000
rural,2025,5,305000
rural,2125,5,322000
rural,2225,5,338000
rural,2325,5,352000
rural,2425,5,368000
rural,2525,6,385000
rural,2625,6,402000
rural,2725,6,418000
rural,2825,6,432000
rural,2925,6,448000
rural,3025,7,465000
rural,560,1,82000
rural,660,1,92000
rural,760,2,108000
rural,860,2,118000
rural,960,2,132000
rural,1060,3,152000
rural,1160,3,168000
rural,1260,3,182000
rural,1360,3,198000
rural,1460,4,215000
rural,1560,4,228000
rural,1660,4,245000
rural,1760,4,262000
rural,1860,4,275000
rural,1960,5,292000
rural,2060,5,308000
rural,2160,5,325000
rural,2260,5,342000
rural,2360,5,358000
rural,2460,5,372000
coastal,725,1,212000
coastal,825,2,238000
coastal,925,2,258000
coastal,1025,2,278000
coastal,1125,3,305000
coastal,1225,3,328000
coastal,1325,3,352000
coastal,1425,3,375000
coastal,1525,4,402000
coastal,1625,4,428000
coastal,1725,4,455000
coastal,1825,4,482000
coastal,1925,4,508000
coastal,2025,5,535000
coastal,2125,5,562000
coastal,2225,5,588000
coastal,2325,5,615000
coastal,2425,5,642000
coastal,2525,6,672000
coastal,2625,6,698000
coastal,2725,6,725000
coastal,2825,6,752000
coastal,2925,6,778000
coastal,3025,7,808000
coastal,3125,7,835000
coastal,760,1,218000
coastal,860,2,245000
coastal,960,2,265000
coastal,1060,2,285000
coastal,1160,3,312000
coastal,1260,3,338000
coastal,1360,3,362000
coastal,1460,3,385000
coastal,1560,4,412000
coastal,1660,4,438000
coastal,1760,4,465000
coastal,1860,4,492000
coastal,1960,5,518000
coastal,2060,5,545000
coastal,2160,5,572000
coastal,2260,5,598000
coastal,2360,5,625000
coastal,2460,5,652000
coastal,2560,6,682000
coastal,2660,6,708000
coastal,2760,6,735000
coastal,2860,6,762000
coastal,2960,6,788000
coastal,3060,7,818000
urban,3350,7,702000
urban,3500,7,735000
urban,3650,8,768000
urban,3800,8,802000
urban,3950,8,835000
urban,4100,9,868000
suburban,3125,7,618000
suburban,3250,7,638000
suburban,3375,8,662000
suburban,3500,8,682000
suburban,3625,8,705000
suburban,3750,9,728000
rural,3125,7,482000
rural,3250,7,498000
rural,3375,8,515000
rural,3500,8,532000
rural,3625,8,548000
rural,3750,9,565000
coastal,3200,7,862000
coastal,3350,8,898000
coastal,3500,8,935000
coastal,3650,8,972000
coastal,3800,9,1008000
coastal,3950,9,1045000
urban,1112,3,233000
urban,1388,3,292000
urban,1612,4,336000
urban,1888,4,392000
urban,2112,5,442000
urban,2388,5,498000
suburban,1088,3,208000
suburban,1312,3,250000
suburban,1588,4,305000
suburban,1812,4,348000
suburban,2088,5,402000
suburban,2312,5,448000
rural,1088,3,165000
rural,1312,3,188000
rural,1588,4,238000
rural,1812,4,272000
rural,2088,5,312000
rural,2312,5,348000
coastal,1088,3,318000
coastal,1312,3,362000
coastal,1588,4,422000
coastal,1812,4,478000
coastal,2088,5,552000
coastal,2312,5,608000
urban,513,1,129500
urban,526,1,129500
urban,539,1,129500
urban,552,1,129500
urban,565,1,129500
urban,578,1,129500
urban,591,1,129500
urban,604,1,129500
urban,617,1,129500
urban,630,1,129500
urban,643,1,129500
urban,656,1,129500
urban,669,1,129500
urban,682,1,129500
urban,695,1,129500
urban,708,1,129500
urban,721,1,129500
urban,734,1,129500
urban,747,1,130000
urban,760,1,130000
urban,773,1,130000
urban,786,1,130000
urban,799,1,130000
urban,812,1,130000
urban,825,1,130000
urban,838,1,130000
urban,851,1,130000
urban,864,1,130000
urban,877,1,130000
urban,890,1,130000
urban,513,2,174500
urban,526,2,174500
urban,539,2,174500
urban,552,2,174500
urban,565,2,174500
urban,578,2,174500
urban,591,2,174500
urban,604,2,174500
urban,617,2,174500
urban,630,2,174500
urban,643,2,174500
urban,656,2,174500
urban,669,2,174500
urban,682,2,174500
urban,695,2,174500
urban,708,2,174500
urban,721,2,174500
urban,734,2,174500
urban,747,2,175000
urban,773,2,175000
urban,786,2,175000
urban,799,2,175000
urban,812,2,175000
urban,838,2,175000
urban,851,2,175000
urban,864,2,175000
urban,877,2,175000
urban,890,2,175000
urban,903,2,175000
urban,916,2,175000
urban,513,3,239500
urban,526,3,239500
urban,539,3,239500
urban,552,3,239500
urban,565,3,239500
urban,578,3,239500
urban,591,3,239500
urban,604,3,239500
urban,617,3,239500
urban,630,3,239500
urban,643,3,239500
urban,656,3,239500
urban,669,3,239500
urban,682,3,239500
urban,695,3,239500
urban,708,3,239500
urban,721,3,239500
urban,734,3,239500
urban,747,3,240000
urban,760,3,240000
urban,773,3,240000
urban,786,3,240000
urban,799,3,240000
urban,812,3,240000
urban,825,3,240000
urban,838,3,240000
urban,851,3,240000
urban,864,3,240000
urban,877,3,240000
urban,890,3,240000
urban,513,4,334500
urban,526,4,334500
urban,539,4,334500
urban,552,4,334500
urban,565,4,334500
urban,578,4,334500
urban,591,4,334500
urban,604,4,334500
urban,617,4,334500
urban,630,4,334500
urban,643,4,334500
urban,656,4,334500
urban,669,4,334500
urban,682,4,334500
urban,695,4,334500
urban,708,4,334500
urban,721,4,334500
urban,734,4,334500
urban,747,4,335000
urban,760,4,335000
urban,773,4,335000
urban,786,4,335000
urban,799,4,335000
urban,812,4,335000
urban,825,4,335000
urban,838,4,335000
urban,851,4,335000
urban,864,4,335000
urban,877,4,335000
urban,890,4,335000
urban,513,5,444500
urban,526,5,444500
urban,539,5,444500
urban,552,5,444500
